original_term,replacement
direspon,direspons
progran,program
ngono,begitu
bbpom,balai besar pengawas obat dan makanan
njing,anjing
turu,tidur
idr,rupiah
indomaret,minimarket
kal,kalau
account,akun
memastikn,memastikan
himbauan,imbauan
fnb,makanan dan minuman
retweet,cuit ulang
ppatk,pusat pelaporan dan analisis transaksi keuangan
reports,laporan
report,laporan
plek,persis
showroom,ruang pamer
pre,pra
ntuh,itu
ytta,yang tahu tahu saja
embege,makan bergizi gratis
kresek,kantong plastik
hahah,tertawa
airlines,maskapai penerbangan
hrg,harga
endingnya,akhirnya
side,sisi
tagline,semboyan
bknnya,bukannya
farm,peternakan
faham,paham
gess,kawan
poklahsar,kelompok pengolah dan pemasar
vidio,video
hihi,tertawa
seringkali,sering kali
steel,baja
najamuddin,najamudin
disalurin,disalurkan
jirrr,waduh
genk,geng
marahin,marahi
nyicipin,mencicipi
lagipula,lagi pula
branding,pencitraan
nyerah,menyerah
pmi,palang merah indonesia
cook,masak
nyiptain,menciptakan
gembar,gembar gembor
orangtuanya,orang tuanya
gratisin,gratiskan
thing,hal
kocakk,kocak
ptn,perguruan tinggi negeri
webinar,seminar daring
thinking,berpikir
gov,pemerintah
ngasihnya,memberinya
yaampun,ya ampun
trial,uji coba
called,disebut
gdp,produk domestik bruto
feedback,masukan
think,pikir
suapin,suapi
buanyak,banyak
ipda,inspektur polisi dua
ttd,tanda tangan
nye,nya
snbt,seleksi nasional berdasarkan tes
titiek,titiek soeharto
awokawok,tertawa
memberikn,memberikan
morningg,pagi
aoka,roti aoka
wkw,tertawa
suksesin,sukseskan
krispi,renyah
milyaran,miliaran
expect,berharap
fgd,diskusi kelompok terpumpun
training,pelatihan
jang,jangan
naspad,nasi padang
itb,institut teknologi bandung
pemerintahanprabowo,pemerintahan prabowo
turjawali,pengaturan penjagaan pengawalan dan patroli
microgreens,sayuran mikro
vibesnya,suasananya
plosok,pelosok
true,benar
goal,tujuan
value,nilai
istighfar,istigfar
jare,katanya
kadaluarsa,kadaluwarsa
melu,ikut
gueh,saya
suplay,suplai
quote,kutipan
softex,pembalut
fashion,mode
design,desain
menag,menteri agama
ditanyain,ditanyakan
hrga,harga
same,sama
cisdi,center for indonesias strategic development initiatives
tawarin,tawarkan
vii,tujuh
tho,sih
mayjen,mayor jenderal
marketing,pemasaran
ujug,tiba tiba
survive,bertahan
nguras,menguras
berterimakasih,berterima kasih
adlah,adalah
also,juga
goals,tujuan
skalian,sekalian
begizi,bergizi
angaran,anggaran
dijanjiin,dijanjikan
strong,kuat
amrik,amerika serikat
komsos,komunikasi sosial
pelaksanaanya,pelaksanaannya
survival,bertahan hidup
content,konten
leader,pemimpin
yauda,ya sudah
orek,orek tempe
npwp,nomor pokok wajib pajak
anjim,anjing
bapanas,badan pangan nasional
viralnya,viralnya
thr,tunjangan hari raya
sirkel,lingkaran pertemanan
again,lagi
kocag,kocak
ditambahin,ditambahkan
anjinggg,anjing
jatohnya,jatuhnya
rejim,rezim
lounching,peluncuran
jabodetabek,jakarta bogor depok tangerang bekasi
could,bisa
wilkum,wilayah hukum
wagyu,daging wagyu
gjls,tidak jelas
push,dorong
plat,pelat
turunin,turunkan
alus,halus
kedapetan,kedapatan
butuhin,butuhkan
grab,ojek daring
pem,pemerintah
wkwkk,tertawa
spbu,stasiun pengisian bahan bakar umum
excited,bersemangat
cil,bocil
negoro,negara
ngikut,ikut
brand,merek
kyai,kiai
yummy,enak
awards,penghargaan
genarasi,generasi
kosan,indekos
gulo,gula
red,merah
pragib,prabowo gibran
cuih,meludah
girl,perempuan
bocilku,anak kecilku
angkot,angkutan kota
expired,kedaluwarsa
pempus,pemerintah pusat
gege,bagus
mom,ibu
bosok,busuk
elah,alah
scene,adegan
begisi,bergizi
diomongin,dibicarakan
downgrade,turun kualitas
bete,kesal
netijen,warganet
napi,narapidana
pejabrut,pejabat korup
anjink,anjing
strawberry,stroberi
dollar,dolar
ngarepin,mengharapkan
paok,bodoh
kkal,kilokalori
cafe,kafe
national,nasional
kbm,kegiatan belajar mengajar
triliyun,triliun
ded,ayah
mendag,menteri perdagangan
woyy,hei
huru,huru hara
plh,pelaksana harian
infopublik,info publik
babel,bangka belitung
ktp,kartu tanda penduduk
dibeliin,dibelikan
infra,infrastruktur
kipk,kartu indonesia pintar kuliah
netapin,menetapkan
jdnya,jadinya
trend,tren
mng,memang
ngada,mengada ada
bukber,buka bersama
nolong,menolong
dialokasiin,dialokasikan
blakan,blak blakan
ngefek,berdampak
opening,pembukaan
utbk,ujian tulis berbasis komputer
pmerintah,pemerintah
sego,nasi
farming,pertanian
ngibul,bohong
bertanggungjawab,bertanggung jawab
diksh,dikasih
konsum,konsumsi
orgnya,orangnya
recovery,pemulihan
eval,evaluasi
karir,karier
mimpin,memimpin
takeover,ambil alih
samain,samakan
bento,nasi kotak
sensi,sensitif
pjbt,pejabat
ngiler,tergiur
salurin,salurkan
hastag,tagar
bejir,wah
deserve,pantas
pulkam,pulang kampung
kraton,keraton
transaparan,transparan
privilege,hak istimewa
mpasi,makanan pendamping air susu ibu
insight,wawasan
cateringnya,kateringnya
volunteer,relawan
tpa,tempat pembuangan akhir
numpang,menumpang
progrm,program
outcome,hasil
ngatasin,mengatasi
economic,ekonomi
manaaa,mana
benchmark,tolok ukur
boost,dorong
kedaikopi,kedai kopi
linknya,tautannya
slide,salindia
progress,perkembangan
lae,saudara
wakanda,indonesia
match,cocok
opd,organisasi perangkat daerah
ngusulin,mengusulkan
ngawal,mengawal
useless,tidak berguna
ilangin,hilangkan
torang,kita
dpc,dewan pimpinan cabang
oseng,tumis
pki,partai komunis indonesia
bekelin,bekali
backup,cadangan
pkg,paket
tetiba,tiba tiba
doomed,hancur
games,permainan
ngegaji,menggaji
sustainable,berkelanjutan
sure,yakin
pinjol,pinjaman daring
kartanegara,kertanegara
plongo,melongo
malemnya,malamnya
joged,joget
indomilk,susu indomilk
fr,benaran
buy,beli
rip,mati
ngirit,mengirit
nego,negosiasi
kemenhan,kementerian pertahanan
excellence,keunggulan
sukamiskin,sukamiskin
right,benar
dibilangin,dibilang
sesimple,sesimpel
dirty,kotor
duite,duitnya
kopka,kopral kepala
ac,pendingin ruangan
gasss,gas
masal,massal
sdgs,tujuan pembangunan berkelanjutan
governance,tata kelola
last,terakhir
wins,menang
proud,bangga
tantrum,amuk
income,pendapatan
prank,lelucon
klp,kelompok
cicipin,cicipi
mako,markas komando
idea,ide
sumpahin,sumpahi
priok,tanjung priok
very,sangat
ppu,penajam paser utara
gaess,kawan
nyengseret,menyengsarakan
koprasi,koperasi
grand,besar
ahu,administrasi hukum umum
antum,anda
ind,indonesia
transparency,transparansi
anyway,omong omong
jane,sebenarnya
krja,kerja
booster,penguat
bruh,kawan
diawasin,diawasi
walmur,wali murid
kjp,kartu jakarta pintar
gusy,kawan
ditingkatin,ditingkatkan
prindapan,india
diliburin,diliburkan
saqu,bank saqu
maybe,mungkin
did,melakukan
nanganin,menangani
apakabar,apa kabar
chill,santai
meh,biasa saja
hahahahaha,tertawa
jasuke,jagung susu keju
singapur,singapura
mrt,moda raya terpadu
apply,menerapkan
permpoon,perempuan
minthinc,admin
bersihin,bersihkan
nderr,sender
pindahin,pindahkan
kepseknya,kepala sekolahnya
jp,jepang
dikeluarin,dikeluarkan
kinyis,segar
smntara,sementara
wadidaw,wah
download,unduh
things,hal
tuker,tukar
bgm,bagaimana
gedein,besarkan
aguan,sugianto kusuma
ethes,jan ethes
foodwaste,sampah makanan
ckck,berdecak
age,umur
bapuk,jelek
hetifah,hetifah sjaifudian
ishiba,shigeru ishiba
kulonprogo,kulon progo
korwil,koordinator wilayah
rm,rumah makan
banser,barisan ansor serbaguna
ujicoba,uji coba
kpi,komisi penyiaran indonesia
onok,ada
kemendes,kementerian desa
tingkatin,tingkatkan
capcay,capcai
come,datang
ending,akhir
lsi,lembaga survei indonesia
kecoa,kecoak
gaksih,tidak sih
fucking,sialan
dahal,padahal
panrb,pendayagunaan aparatur negara dan reformasi birokrasi
lmao,tertawa
tajir,kaya
ukm,usaha kecil menengah
nagih,menagih
stakeholder,pemangku kepentingan
host,pembawa acara
sea,asia tenggara
kerjain,kerjakan
semuaa,semua
lejat,lezat
diterapin,diterapkan
kabid,kepala bidang
duwit,duit
widodo,joko widodo
norwegia,norwegia
meals,makanan
makn,makan
minerba,mineral dan batubara
dikibulin,dibohongi
jogokariyan,masjid jogokariyan
filipina,filipina
eating,makan
app,aplikasi
counter,bantahan
tour,tur
itwasum,inspektorat pengawasan umum
msyarakat,masyarakat
political,politik
manfaatin,manfaatkan
gampong,desa
brjalan,berjalan
meningkatkn,meningkatkan
rdp,rapat dengar pendapat
mudharat,mudarat
menpan,menteri pendayagunaan aparatur negara
natalius,natalius pigai
most,paling
card,kartu
rogram,program
putusin,putuskan
collab,kolaborasi
monas,monumen nasional
komjen,komisaris jenderal
idk,saya tidak tahu
ask,tanya
tier,tingkat
mtk,matematika
allahuakbar,allahu akbar
view,pemandangan
ngumpul,berkumpul
calling,memanggil
nutrition,nutrisi
gosah,tidak usah
satsamapta,satuan samapta
fifa,federasi sepak bola internasional
nice,bagus
plating,penataan makanan
est,estimasi
dimension,dimensi
server,peladen
tipes,tifus
ipal,instalasi pengolahan air limbah
keb,kabupaten
pronas,kornet
pict,gambar
elektabilitas,elektabilitas
esim,sim elektronik
je,saja
fact,fakta
pakcoy,sawi sendok
mainin,memainkan
idih,ih
season,musim
jokes,lelucon
gay,homoseksual
ngelus,mengelus
agr,agraria
green,hijau
hahahah,tertawa
nunjukkin,menunjukkan
notice,sadar
gwa,saya
mls,malas
grade,kelas
alokasiin,alokasikan
wc,toilet
berentiin,berhentikan
kesmas,kesehatan masyarakat
dimatiin,dimatikan
ngolah,mengolah
hmmmm,berpikir
nebak,menebak
anjingg,anjing
gerakin,gerakkan
skul,sekolah
maruk,rakus
alesannya,alasannya
fetish,obsesi seksual
nyetok,menyetok
siomay,siomai
sptnya,sepertinya
asmin,asisten administrasi
iqnya,kecerdasannya
tapsel,tapanuli selatan
villa,vila
caddy,kedi
superindo,supermarket
sumringah,semringah
kolab,kolaborasi
mis,misal
pinteran,lebih pintar
epic,hebat
kemenkop,kementerian koperasi
orgtua,orang tua
fahri,fahri hamzah
finance,keuangan
kppu,komisi pengawas persaingan usaha
suharto,soeharto
nerapin,menerapkan
xii,dua belas
note,catatan
hartarto,airlangga hartarto
official,resmi
tax,pajak
shigeru,shigeru ishiba
legacy,warisan
wih,wah
baswedan,anies baswedan
rocky,rocky gerung
home,rumah
fokusin,fokuskan
simbolik,simbolis
nyangkut,tersangkut
social,sosial
nyebutnya,menyebutnya
bag,tas
walo,walau
brin,badan riset dan inovasi nasional
misleading,menyesatkan
batita,bawah tiga tahun
poll,jajak pendapat
endorse,promosi
diapus,dihapus
while,sementara
ditaro,ditaruh
rapim,rapat pimpinan
familiar,familier
upt,unit pelaksana teknis
ustadz,ustaz
hard,sulit
ege,bodoh
sjafrie,sjafrie sjamsoeddin
babinkamtibmas,bhabinkamtibmas
before,sebelum
polrestabes,kepolisian resor kota besar
salute,salut
hpp,harga pokok penjualan
dibolehin,dibolehkan
bhkan,bahkan
country,negara
input,masukan
menganggu,mengganggu
nyapres,mencalonkan presiden
mbb,maaf baru balas
frozen,beku
soft,lembut
tone,nada
yandu,pos pelayanan terpadu
ho,hoaks
kemendukbangga,kementerian kependudukan dan pembangunan keluarga
aqua,air mineral
tilep,korupsi
aisyiyah,aisyiyah
extra,ekstra
komcad,komponen cadangan
handal,andal
str,surat tanda registrasi
rpjmn,rencana pembangunan jangka menengah nasional
memposting,mengunggah
morninggg,pagi
rbu,rabu
casn,calon aparatur sipil negara
hype,tren
harto,soeharto
yeka,yeka hendra fatika
fatika,yeka hendra fatika
flag,bendera
slain,selain
deng,dong
naon,apa
coding,pemrograman
rice,nasi
awasin,awasi
melkiades,melkiades laka lena
roll,gulung
bullying,perundungan
put,taruh
ijasah,ijazah
maladministrasi,maladministrasi
vip,sangat penting
multibank,multibank
senayan,dewan perwakilan rakyat
dpan,depan
sweet,manis
hsl,hasil
menghimbau,mengimbau
sept,september
esdm,energi dan sumber daya mineral
kppg,kesatuan perempuan partai golkar
atm,anjungan tunai mandiri
odgj,orang dengan gangguan jiwa
truth,kebenaran
everything,segalanya
pildun,piala dunia
sentralistik,sentralistik
customer,pelanggan
spin,putar
star,bintang
smooth,halus
focus,fokus
positive,positif
mastiin,memastikan
gm,manajer umum
ngubah,mengubah
wonokoyo,wonokoyo
showcase,pameran
utkrakyat,untuk rakyat
press,pers
em,memang
caregiver,pengasuh
hashtag,tagar
itumah,itu
saos,saus
sarkas,sarkasme
stuck,macet
nombok,menombok
hehehehe,tertawa
ujan,hujan
party,pesta
risk,risiko
dimintain,dimintai
ngepost,mengunggah
wi,wifi
lunasin,lunasi
wew,wah
modalin,modali
mbgan,makan bergizi gratis
oil,minyak
warning,peringatan
gelem,mau
siy,sih
login,masuk
victim,korban
banana,pisang
masok,masuk
huhuhu,menangis
wkkw,tertawa
tida,tidak
tudey,hari ini
ingfo,info
plss,mohon
ndek,di
dinner,makan malam
whoos,kereta cepat whoosh
udha,sudah
ltr,liter
gsn,gerakan solidaritas nasional
geus,sudah
slta,sekolah menengah atas
talkshow,gelar wicara
reward,hadiah
judge,menghakimi
lowbat,lemah baterai
pik,pantai indah kapuk
trubus,trubus
ceuk,kata
stand,stan
sape,siapa
gaiss,kawan
fikir,pikir
detikcom,detik
tlh,telah
tvrinews,televisi republik indonesia
mndukung,mendukung
disdikbud,dinas pendidikan dan kebudayaan
tribun,tribun
egg,telur
esemka,esemka
infaq,infak
aseli,asli
campaign,kampanye
sritex,sritex
bajet,bujet
sopo,siapa
bodoamat,masa bodoh
tauk,tahu
sbnernya,sebenarnya
amazing,luar biasa
dibubarin,dibubarkan
enabler,pemungkin
lansung,langsung
energy,energi
ngukur,mengukur
ratas,rapat terbatas
tvri,televisi republik indonesia
disupport,didukung
hybrid,hibrida
sinergisitas,sinergisitas
workshop,lokakarya
detikers,pembaca detik
spending,pengeluaran
bergisi,bergizi
matane,matamu
electrizen,pelanggan pln
nguntungin,menguntungkan
mck,mandi cuci kakus
terusin,teruskan
durung,belum
ckckck,berdecak
risol,risoles
nyedot,menyedot
prgram,program
wkwkwkwkwkwk,tertawa
fast,cepat
mmng,memang
done,selesai
base,markas
ut,universitas terbuka
allahhh,allah
spn,sekolah polisi negara
teuing,tidak tahu
anjingggg,anjing
muluu,melulu
centre,pusat
atlit,atlet
coalition,koalisi
kopda,kopral dua
smu,sekolah menengah umum
imagine,bayangkan
anjer,anjing
anev,analisis dan evaluasi
janjiin,janjikan
bringin,beringin
blue,biru
wareg,kenyang
djpb,direktorat jenderal perbendaharaan
mexico,meksiko
since,sejak
pakk,pak
index,indeks
wfp,world food programme
staffnya,stafnya
kordinasi,koordinasi
pupr,pekerjaan umum dan perumahan rakyat
uk,inggris
ts,pembuat utas
god,tuhan
detil,detail
kuatir,khawatir
nyontek,mencontek
treasure,harta karun
diadain,diadakan
private,swasta
someone,seseorang
sholat,salat
danatara,daya anagata nusantara
jos,bagus
cooking,memasak
lahirin,lahirkan
ealah,alah
sekjen,sekretaris jenderal
lokernya,lowongan kerjanya
stakeholders,pemangku kepentingan
rutan,rumah tahanan
sdr,saudara
going,pergi
excel,excel
oshi,idola
masyaallah,masya allah
flpp,fasilitas likuiditas pembiayaan perumahan
queen,ratu
standby,siaga
record,rekam
stupid,bodoh
reminder,pengingat
isine,isinya
noted,dicatat
jdinya,jadinya
nemenin,menemani
ice,es
pbg,persetujuan bangunan gedung
mbege,makan bergizi gratis
pick,pilih
hunger,kelaparan
nyebrang,menyeberang
nine,sembilan
less,kurang
sanitarian,ahli kesehatan lingkungan
hihihi,tertawa
nganu,itu
plsss,mohon
dino,hari
thankyou,terima kasih
mos,masa orientasi siswa
malmingan,malam mingguan
fullcream,susu penuh krim
datengin,mendatangi
enjoy,nikmati
kae,itu
prbw,prabowo
ngincer,mengincar
dprp,dewan perwakilan rakyat papua
mingkem,tutup mulut
naudzubillah,naudzubillah
budeg,tuli
kating,kakak tingkat
kripik,keripik
nirempati,nir empati
keukeuh,kukuh
ethanol,etanol
illegal,ilegal
duper,super
mahluk,makhluk
dihandle,ditangani
woiii,hei
mentai,mentai
bby,sayang
sedep,sedap
bejibun,banyak
ndi,mana
okay,oke
tjd,terjadi
mbl,mobil
smuanya,semuanya
hgn,hari gizi nasional
menhut,menteri kehutanan
bncana,bencana
trilliun,triliun
sdi,sekolah dasar islam
peak,puncak
potential,potensial
pizza,piza
opinion,opini
disdikpora,dinas pendidikan pemuda dan olahraga
topic,topik
nyinggung,menyinggung
pemko,pemerintah kota
sample,sampel
pb,pengurus besar
idi,ikatan dokter indonesia
garem,garam
user,pengguna
okey,oke
beroprasi,beroperasi
sekolahh,sekolah
daycare,tempat penitipan anak
slbn,sekolah luar biasa negeri
junk,sampah
priority,prioritas
polhukam,politik hukum dan keamanan
dilaunching,diluncurkan
smgt,semangat
wamenkeu,wakil menteri keuangan
itungannya,hitungannya
kasat,kepala satuan
masyrakat,masyarakat
assalamu,assalamualaikum
nyomot,mengambil
gegayaan,bergaya
crew,kru
sumberdaya,sumber daya
dapil,daerah pemilihan
wrong,salah
jeplak,asal bicara
image,citra
mustinya,semestinya
hits,populer
room,ruangan
katain,ejek
neg,negatif
cuap,bicara
irwasda,inspektorat pengawasan daerah
kakean,kebanyakan
pemred,pemimpin redaksi
responnya,responsnya
diketawain,ditertawakan
presidential,kepresidenan
communication,komunikasi
ngelesnya,berkelitnya
abistu,habis itu
msi,magister sains
jamintel,jaksa agung muda bidang intelijen
ika,ikatan alumni
difokusin,difokuskan
ubur,ubur ubur
kasdim,kepala staf komando distrik militer
switch,alih
batubara,batu bara
ipk,indeks prestasi kumulatif
want,ingin
diilangin,dihilangkan
kajari,kepala kejaksaan negeri
bagusin,baguskan
own,sendiri
maksimalin,maksimalkan
kokk,kok
saintek,sains dan teknologi
fetishnya,obsesi seksualnya
utamain,utamakan
ngutamain,mengutamakan
edition,edisi
diphk,diputus hubungan kerja
hadehhh,aduh
congrats,selamat
some,beberapa
lost,hilang
root,akar
duitny,duitnya
child,anak
summit,konferensi tingkat tinggi
hgg,hingga
fkdm,forum kewaspadaan dini masyarakat
pattiro,pusat telaah dan informasi regional
ngerugiin,merugikan
stm,sekolah teknik menengah
wakapolsek,wakil kepala kepolisian sektor
dinggo,dipakai
anjengg,anjing
entuk,dapat
negera,negara
malkist,biskuit malkist
kertanegara,kertanegara
bioflok,bioflok
loli,anak kecil
hampers,bingkisan
scale,skala
claim,klaim
alay,norak
shibal,bangsat
oo,oh
deaf,tuli
poto,foto
skizo,skizofrenia
walid,valid
ngurusnya,mengurusnya
siape,siapa
wiwi,joko widodo
pemrenta,pemerintah
diributin,diributkan
mewujudkn,mewujudkan
cumi,cumi cumi
sluruh,seluruh
myday,hariku
ohiya,oh iya
gizine,gizinya
youth,pemuda
viralin,viralkan
funny,lucu
friends,teman
fh,fakultas hukum
kiro,kira
hya,hanya
mauk,mau
redy,siap
untu,untuk
muhamadiyah,muhammadiyah
eits,eh
luwih,lebih
nggawe,membuat
oge,juga
cp,narahubung
lebi,lebih
ownernya,pemiliknya
reshuffle,perombakan
deadline,tenggat waktu
speaking,bicara
migas,minyak dan gas
rebranding,penjenamaan ulang
improve,tingkatkan
nyuplai,menyuplai
chairman,ketua
award,penghargaan
space,ruang
words,kata kata
session,sesi
prabowonomics,ekonomi prabowo
anake,anaknya
koko,kakak laki laki
dibanyakin,diperbanyak
name,nama
blasss,sama sekali
kene,sini
puun,pohon
kuhp,kitab undang undang hukum pidana
ngandalin,mengandalkan
tendik,tenaga kependidikan
skim,skema
unboxing,buka kemasan
sodaraku,saudaraku
should,seharusnya
dibikinin,dibuatkan
kalee,barangkali
business,bisnis
white,putih
tlong,tolong
prohe,protein hewani
ket,keterangan
tech,teknologi
being,menjadi
mnrt,menurut
samperin,hampiri
comment,komentar
diceritain,diceritakan
bacain,bacakan
ngira,mengira
tegasin,tegaskan
byr,bayar
costnya,biayanya
gumoh,muntah
bolehin,bolehkan
beef,daging sapi
yay,hore
cokk,sialan
ngakunya,mengakunya
jejelin,jejali
bwh,bawah
anjayyy,wow
welfare,kesejahteraan
dipajakin,dipajaki
gonta,ganti
gelontorin,gelontorkan
kerancunan,keracunan
balek,kembali
banyk,banyak
gpt,kecerdasan buatan
fandom,penggemar
dihentiin,dihentikan
play,main
jmlh,jumlah
gamasuk,tidak masuk
bisyukurillah,alhamdulillah
teacher,guru
genz,generasi z
form,formulir
toast,roti panggang
cocote,mulutnya
would,akan
kasihin,kasihkan
kono,sana
tmi,terlalu banyak informasi
clean,bersih
spam,sampah
tps,tempat pemungutan suara
nginep,menginap
mun,kalau
nyewa,menyewa
warsun,warung nasi
phobia,fobia
dilaporin,dilaporkan
bff,sahabat
ew,jijik
diserahin,diserahkan
laah,lah
pegawe,pegawai
ampar,hampar
layout,tata letak
edamame,kedelai jepang
twist,kejutan
mrpkn,merupakan
wkwkkwk,tertawa
nusron,nusron wahid
remehin,remehkan
megap,sesak napas
isilop,polisi
stream,siaran
struggle,susah payah
ur,kamu
endless,tanpa akhir
yakult,minuman probiotik
sensei,guru
zolim,zalim
heli,helikopter
kynya,kayaknya
indoensia,indonesia
jgnkan,jangankan
wamendikdasmen,wakil menteri pendidikan dasar dan menengah
koneng,kuning
yogya,yogyakarta
these,ini
demit,setan
briptu,brigadir polisi satu
nangkep,menangkap
greget,gemas
gwehj,saya
pmtas,pemberian makanan tambahan anak sekolah
kicep,takut
gimane,bagaimana
eluh,kamu
maklumin,maklumi
detikfinance,detik
twt,cuitan
asikk,asyik
targetin,targetkan
gaisss,kawan
jtan,jutaan
dapoer,dapur
pemdanya,pemerintah daerahnya
gblok,bodoh
alakadarnya,ala kadarnya
chief,ketua
dinamain,dinamai
bwat,buat
ylki,yayasan lembaga konsumen indonesia
picek,buta
nyambi,menyambi
cth,contoh
seskoal,sekolah staf dan komando angkatan laut
pratikno,pratikno
zis,zakat infak sedekah
apk,aplikasi
nyetop,menyetop
pwi,persatuan wartawan indonesia
sekdaprov,sekretaris daerah provinsi
kunker,kunjungan kerja
hnw,hidayat nur wahid
nyeleneh,aneh
complain,keluhan
ngonten,membuat konten
approval,persetujuan
konglo,konglomerat
blatung,belatung
diutamain,diutamakan
awokawokawok,tertawa
been,sudah
ksad,kepala staf angkatan darat
hamburin,hamburkan
planga,melongo
nothing,tidak ada
giant,raksasa
holding,induk perusahaan
polwan,polisi wanita
disclaimer,penafian
mix,campur
brain,otak
kocar,kocar kacir
timsesnya,tim suksesnya
ngebanggain,membanggakan
monyetttt,monyet
wooo,prabowo
tercover,terjangkau
gimanapun,bagaimanapun
anagata,daya anagata nusantara
czi,korps zeni
apkh,apakah
kreatifitas,kreativitas
sistim,sistem
membntu,membantu
wamenag,wakil menteri agama
yabg,yang
improvement,perbaikan
give,beri
moh,tidak mau
becandaan,bercandaan
rush,buru buru
pongrekun,dharma pongrekun
poisoning,keracunan
lsm,lembaga swadaya masyarakat
ceremony,seremoni
force,paksa
ngerampok,merampok
grassroots,akar rumput
wth,sialan
pmrnth,pemerintah
asset,aset
nampung,menampung
markotop,bagus sekali
suudzon,suuzan
iwak,ikan
blablabla,omong kosong
maba,mahasiswa baru
bilek,seperti
brainwash,cuci otak
nyelametin,menyelamatkan
must,harus
ayang,sayang
prodi,program studi
diplomacy,diplomasi
diharapkn,diharapkan
diminimalisir,diminimalkan
tweetnya,cuitannya
lngkah,langkah
intelkam,intelijen dan keamanan
foodtray,nampan makanan
suport,dukung
kav,kaveling
arep,mau
nangkap,menangkap
benerrr,benar
ramil,rayon militer
digembar,digembar gemborkan
atr,agraria dan tata ruang
trilun,triliun
oomf,pengikut
lettu,letnan satu
silent,diam
sigendut,si gendut
blonde,pirang
penghianat,pengkhianat
membuaat,membuat
ngalihin,mengalihkan
rebo,rabu
astacita,asta cita
needed,dibutuhkan
setneg,sekretariat negara
entek,habis
kieu,begini
junkfood,makanan cepat saji
dimanfaatin,dimanfaatkan
keselek,tersedak
konsen,konsentrasi
typo,salah ketik
yaiya,ya iya
sareal,sereal
gor,gelanggang olahraga
dem,demi
okb,orang kaya baru
micro,mikro
datengnya,datangnya
kendor,kendur
skola,sekolah
synchronize,sinkronisasi
filet,daging tanpa tulang
exactly,tepat
scheme,skema
minjem,meminjam
behind,belakang
hiring,rekrutmen
fkm,fakultas kesehatan masyarakat
rubuh,roboh
help,bantu
procedure,prosedur
gold,emas
haaa,tertawa
heart,hati
organoleptik,uji rasa
operational,operasional
mensuksekan,menyukseskan
pukimak,sialan
eps,episode
diturunin,diturunkan
moon,bulan
balance,seimbang
ppp,partai persatuan pembangunan
logical,logis
napsu,nafsu
isih,masih
taro,taruh
finally,akhirnya
prepare,persiapan
her,dia
dibuatin,dibuatkan
buffet,prasmanan
honestly,sejujurnya
moal,tidak akan
diviralin,diviralkan
mgg,minggu
ndan,komandan
recap,rekapitulasi
gaban,besar
maenan,mainan
hadeeeh,aduh
many,banyak
pleciden,presiden
ngelanjutin,melanjutkan
hdeh,aduh
nohhh,itu
ajggg,anjing
korut,korea utara
gmp,cara produksi pangan yang baik
handling,penanganan
breakfast,sarapan
kudune,harusnya
plissss,mohon
banyakk,banyak
growth,pertumbuhan
really,sungguh
gajetot,tidak jelas total
instant,instan
reflek,refleks
jukdis,petunjuk distribusi
huek,muntah
ggr,gara gara
ketring,katering
kibulin,bohongi
digawe,dibuat
bosss,bos
aye,saya
wkkwkw,tertawa
diblg,dibilang
dashboard,dasbor
likes,suka
bojone,pasangannya
anjinggggg,anjing
benefitnya,manfaatnya
ngakuin,mengakui
fallacy,sesat pikir
syef,koki
mafa,maaf
mandeg,macet
anjj,anjing
kao,kamu
ngambilnya,mengambilnya
nguntal,makan
dishare,dibagikan
spd,sarjana pendidikan
disaster,bencana
bnya,banyak
nyontoh,mencontoh
betulll,betul
taii,tahi
deui,lagi
kea,seperti
zee,susu zee
ekspek,ekspektasi
short,pendek
dibekalin,dibekali
diabisin,dihabiskan
cokkk,sialan
ngerokok,merokok
nganti,sampai
artist,artis
rikues,permintaan
kpu,komisi pemilihan umum
bep,titik impas
mbo,tidak tahu
kis,kartu indonesia sehat
tpp,tambahan penghasilan pegawai
suply,suplai
suroloyo,suroloyo
offside,melanggar
nyamnyam,makan
rilll,asli
mamih,ibu
dluan,duluan
gonna,akan
fasum,fasilitas umum
nuhun,terima kasih
orgil,orang gila
noona,kakak perempuan
something,sesuatu
overtime,lembur
title,judul
door,pintu
yekan,iya kan
fat,lemak
corn,jagung
bpbd,badan penanggulangan bencana daerah
gwh,saya
views,penayangan
kemanain,dikemanakan
stabilin,stabilkan
setyabudi,setyabudi
ketidaksesuaian,ketidaksesuaian
wamensos,wakil menteri sosial
campus,kampus
kebahagian,kebahagiaan
cashback,uang kembali
nyap,makan
cod,bayar di tempat
hd,kualitas tinggi
saha,siapa
touch,sentuh
gassss,gas
menkomdigi,menteri komunikasi dan digital
launcing,peluncuran
economics,ekonomi
favorite,favorit
honest,jujur
sdgkan,sedangkan
nyebokin,membersihkan masalah
pemerinta,pemerintah
yenny,yenny wahid
apji,asosiasi perusahaan jasaboga indonesia
menyamaratakan,menyamaratakan
booking,pemesanan
bni,bank negara indonesia
naekin,naikkan
sembakonya,sembakonya
five,lima
provide,menyediakan
yups,ya
tirto,tirto
mcu,pemeriksaan kesehatan
bakomsus,bintara kompetensi khusus
dipertahanin,dipertahankan
supposed,seharusnya
permenkes,peraturan menteri kesehatan
busyet,buset
kontainer,peti kemas
performance,kinerja
yaudahlah,ya sudahlah
woe,hei
partisipatif,partisipatif
mngg,minggu
wargi,warga
